TEAM_ID,MISSION_TIME,PACKET_COUNT,PACKET_TYPE,SP_ALTITUDE,SP_TEMP,SP_ROTATION_RATE3226,0:0:1,2,S1,702.0,25.0,44
3226,0:0:2,5,S1,694.0,27.0,228
3226,0:0:3,8,S1,696.0,29.0,480
3226,0:0:4,11,S1,687.0,32.0,225
3226,0:0:5,14,S1,683.0,34.0,206
3226,0:0:6,17,S1,680.0,36.0,281
3226,0:0:7,20,S1,677.0,35.0,97
3226,0:0:8,23,S1,673.0,35.0,182
3226,0:0:9,26,S1,663.0,32.0,599
3226,0:0:10,29,S1,654.0,31.0,467
3226,0:0:11,32,S1,651.0,32.0,42
3226,0:0:12,35,S1,651.0,29.0,525
3226,0:0:13,38,S1,650.0,30.0,468
3226,0:0:14,41,S1,650.0,31.0,-83
3226,0:0:15,44,S1,647.0,28.0,-539
3226,0:0:16,47,S1,644.0,30.0,-47
3226,0:0:17,50,S1,641.0,32.0,35
3226,0:0:18,53,S1,641.0,29.0,-490
3226,0:0:19,56,S1,639.0,29.0,-410
3226,0:0:20,59,S1,636.0,29.0,62
3226,0:0:1,2,S1,696.0,25.0,183
3226,0:0:2,5,S1,688.0,27.0,-344
3226,0:0:3,8,S1,682.0,28.0,-884
3226,0:0:4,11,S1,681.0,27.0,-1348
3226,0:0:5,14,S1,673.0,28.0,-1518
3226,0:0:6,17,S1,670.0,31.0,-1483
3226,0:0:7,20,S1,661.0,31.0,-1559
3226,0:0:8,23,S1,659.0,28.0,-1027
3226,0:0:9,26,S1,656.0,31.0,-901
3226,0:0:10,29,S1,647.0,29.0,-501
3226,0:0:11,32,S1,645.0,32.0,-641
3226,0:0:12,35,S1,640.0,29.0,-494
3226,0:0:13,38,S1,638.0,30.0,-596
3226,0:0:14,41,S1,629.0,29.0,-35
3226,0:0:15,44,S1,630.0,32.0,516
3226,0:0:16,47,S1,626.0,29.0,805
3226,0:0:17,50,S1,625.0,32.0,1003
3226,0:0:18,53,S1,623.0,29.0,528
3226,0:0:19,56,S1,619.0,28.0,811
3226,0:0:20,59,S1,621.0,30.0,864
3226,0:0:21,62,S1,615.0,31.0,455
3226,0:0:22,65,S1,613.0,32.0,1019
3226,0:0:23,68,S1,603.0,32.0,748
